活动类型,日期,我的最爱,标题,距离,热量消耗,时间,平均心率,最大心率,有氧效果,平均配速,最佳配速,Training Stress Score®,总划水次数,平均 Swolf,平均划桨率,减压,最佳单圈时间,圈数,移动时间,全程用时
泳池游泳,2025-12-30 10:31:49,false,"泳池游泳","1,995","471","00:54:36","136","170","3.2","2:39","0:43","0.0","1296","78","25","否","00:00:09.9","14","00:52:49","00:55:58"
泳池游泳,2025-12-16 19:06:49,false,"泳池游泳","1,015","257","00:30:07","141","163","2.8","2:37","2:01","0.0","603","76","23","否","00:00:04.2","26","00:26:38","00:33:34"
泳池游泳,2025-12-14 12:52:25,false,"泳池游泳","1,015","297","00:30:13","142","154","2.9","2:37","1:27","0.0","654","78","25","否","00:00:02.3","25","00:26:38","00:32:07"
泳池游泳,2025-12-06 18:39:02,false,"泳池游泳","2,030","375","00:48:34","130","162","2.6","2:21","0:36","0.0","1208","70","25","否","00:00:23.1","7","00:47:46","00:49:23"
泳池游泳,2025-11-30 16:16:12,false,"泳池游泳","1,505","443","00:42:17","141","155","2.9","2:49","2:13","0.0","1019","83","24","否","00:42:17","1","00:42:17","00:42:22"
泳池游泳,2025-11-21 20:53:25,false,"泳池游泳","1,365","402","00:36:51","142","161","3.1","2:42","2:13","0.0","893","80","24","否","00:36:51","1","00:36:51","00:36:58"
泳池游泳,2025-11-09 15:07:09,false,"泳池游泳","1,995","570","00:54:16","144","174","3.2","2:43","2:26","0.0","1329","80","24","否","00:54:16","1","00:54:16","00:54:22"
泳池游泳,2025-11-02 11:17:00,false,"泳池游泳","1,995","503","00:54:44","136","156","2.7","2:44","2:27","0.0","1327","81","24","否","00:54:44","1","00:54:44","00:54:50"
泳池游泳,2025-10-24 20:16:22,false,"泳池游泳","1,995","510","00:51:25","141","167","3.0","2:35","1:12","0.0","1229","76","24","否","00:51:25","1","00:51:25","00:51:29"
泳池游泳,2025-10-19 15:26:14,false,"泳池游泳","1,015","250","00:27:46","132","155","2.1","2:44","1:32","0.0","646","80","23","否","00:00:05.1","2","00:27:41","00:27:52"
泳池游泳,2025-10-12 16:36:56,false,"泳池游泳","1,505","330","00:39:27","131","160","2.3","2:32","0:42","0.0","924","75","24","否","00:00:05.2","5","00:38:15","00:40:08"
泳池游泳,2025-10-08 14:53:34,false,"泳池游泳","1,015","248","00:25:18","141","160","2.8","2:30","0:43","0.0","680","76","27","否","00:25:18","1","00:25:18","00:25:30"
泳池游泳,2025-10-07 18:24:47,false,"泳池游泳","1,995","496","00:55:45","138","156","3.0","2:48","0:46","0.0","1391","83","25","否","00:55:45","1","00:55:45","00:55:50"
泳池游泳,2025-10-06 15:31:59,false,"泳池游泳","1,995","493","00:56:14","135","158","3.0","2:47","2:10","0.0","1425","83","26","否","00:00:10.6","6","00:55:23","00:56:30"
泳池游泳,2025-10-05 10:07:47,false,"泳池游泳","2,030","513","00:54:40","139","163","3.2","2:41","1:49","0.0","1395","80","26","否","00:00:23.7","3","00:54:16","00:54:50"
泳池游泳,2025-09-27 10:33:30,false,"泳池游泳","1,505","359","00:40:38","137","165","2.9","2:42","1:20","0.0","1020","80","25","否","00:00:05.2","3","00:40:33","00:40:52"
泳池游泳,2025-09-21 18:48:07,false,"泳池游泳","1,015","272","00:27:35","140","170","3.2","2:42","2:07","0.0","729","82","27","否","00:00:14.8","3","00:27:20","00:27:40"
泳池游泳,2025-09-20 16:43:51,false,"泳池游泳","1,505","392","00:40:35","140","152","3.1","2:42","2:25","0.0","1012","80","25","否","00:40:35","1","00:40:35","00:40:42"
泳池游泳,2025-09-15 13:54:42,false,"泳池游泳","1,505","441","00:41:03","151","168","3.5","2:44","2:31","0.0","1052","82","26","否","00:41:03","1","00:41:03","00:41:10"
泳池游泳,2025-09-14 16:26:28,false,"泳池游泳","1,505","317","00:38:38","139","162","3.1","2:34","0:56","0.0","996","77","26","否","00:01:56.0","5","00:38:38","00:39:34"
泳池游泳,2025-09-12 15:41:31,false,"泳池游泳","1,505","360","00:42:23","139","165","2.8","2:44","2:01","0.0","999","81","24","否","00:00:13.1","11","00:41:07","00:43:28"
泳池游泳,2025-09-06 20:22:47,false,"泳池游泳","1,995","606","00:53:59","153","169","3.7","2:38","2:03","0.0","1397","80","26","否","00:00:09","10","00:52:44","00:54:23"
泳池游泳,2025-09-05 20:51:01,false,"泳池游泳","1,505","400","00:39:49","152","164","3.5","2:36","0:35","0.0","980","77","25","否","00:00:07.7","7","00:39:06","00:40:10"
泳池游泳,2025-09-03 20:12:19,false,"泳池游泳","560","134","00:15:09","129","154","2.0","2:35","1:53","0.0","375","78","26","否","00:00:20","5","00:14:26","00:15:31"
泳池游泳,2025-08-31 19:12:36,false,"泳池游泳","2,030","625","00:53:33","155","168","4.1","2:36","0:37","0.0","1383","79","26","否","00:00:20.6","5","00:52:51","00:53:46"
泳池游泳,2025-08-23 10:16:03,false,"泳池游泳","1,015","311","00:27:50","153","198","3.1","2:44","2:06","0.0","719","82","26","否","00:00:00.9","2","00:27:49","00:28:31"
泳池游泳,2025-08-22 20:40:56,false,"泳池游泳","1,505","439","00:39:29","150","179","3.5","2:37","0:50","0.0","1024","79","26","否","00:39:29","1","00:39:29","00:39:36"
泳池游泳,2025-08-20 19:41:03,false,"泳池游泳","1,995","576","00:54:37","147","164","3.5","2:43","0:53","0.0","1436","82","26","否","00:00:08.1","4","00:54:19","00:56:15"
